Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453147.731,-12603.301,1.062,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435691783,0.000252134,5.189569598,1.009568681,294.1,250.5015,,17.15454971
2453147.734,-12690.691,1.051,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435262048,0.000226346,5.082753002,0.671006568,327.4,250.4995,,17.15275534
2453147.738,-12602.64,1.056,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435088066,0.00023855,5.070483999,0.805037788,311.0,250.4998,,17.15085934
2453147.782,-12611.123,1.06,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435913831,0.000247442,5.030681068,0.792716643,300.5,229.3994,,17.11867537
2453147.785,-12586.539,1.055,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435735256,0.000236157,5.025555224,0.723240905,315.8,229.3951,,17.1160391
2453147.788,-12650.556,1.058,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435839952,0.000242199,5.09065286,0.901300665,308.0,229.3956,,17.11345698
2453270.614,-12707.217,1.1,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.434279418,0.000296515,5.02574984,0.93562854,245.7,146.8995,,-17.86168197
2453270.616,-12679.88,1.076,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433721532,0.00025899,5.024929117,0.901221116,283.0,146.9008,,-17.86431069
2453270.618,-12579.746,1.08,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.434452272,0.000272702,5.077765147,1.121586151,272.1,146.8941,,-17.86669828
2453270.71,-12641.547,1.092,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433601517,0.000291626,4.895076602,0.69276443,252.5,97.7006,,-17.9687153
2453270.712,-12768.163,1.091,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433759966,0.000286819,4.967654335,0.910668103,256.2,97.6946,,-17.97009874
2453270.713,-12633.762,1.097,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433921946,0.0002947,5.135394712,1.082614711,248.0,97.6952,,-17.9714484
2453624.641,-12742.562,1.216,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436726711,0.000521495,5.060664268,0.961873057,143.3,97.7024,,-15.65193986
2453624.642,-12748.776,1.164,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436992426,0.000440102,5.084180566,0.909328691,169.4,97.7025,,-15.65387307
2453874.843,-12698.859,1.035,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436996623,0.000194716,4.90959728,0.677360742,393.3,97.6995,,17.68535858
2453874.845,-12604.898,1.032,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436961073,0.000187993,4.946312725,0.675710595,407.7,97.7009,,17.68367312
2453875.81,-12688.468,1.057,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.437301638,0.000255799,4.967429023,0.878948751,300.0,57.2007,,17.54794761
2453875.811,-12629.207,1.06,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.437268099,0.000262226,4.998100601,-32.5844306,292.0,57.199,,17.54696582
2453880.899,-12580.363,1.065,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436628635,0.000275654,5.206736532,1.070621329,280.7,97.7024,,16.51264054
2453880.9,-12640.108,1.063,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.43679807,0.000267917,5.099632807,-3.209574907,287.1,97.7001,,16.51073522
2453881.818,-12669.885,1.084,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.436123451,0.000316027,5.042236427,0.892759535,244.1,57.1998,,16.40557767
2453881.819,-12601.223,1.098,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435157954,0.000343101,5.098735396,0.819376621,224.0,57.1998,,16.40443134
2453881.904,-12676.878,1.039,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.438157671,0.000207399,5.12479302,0.835935131,371.4,80.6983,,16.30294252
2453881.905,-12607.079,1.043,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.438428618,0.000213218,5.167549784,0.768779601,359.0,80.7003,,16.30125611
2453881.932,-12678.136,1.052,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.438317947,0.000240717,5.030885306,0.739075166,320.4,65.7005,,16.26815516
2453881.933,-12632.084,1.05,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.439166879,0.000236163,5.024154139,0.186345539,326.6,65.6985,,16.26666321
2453989.57,-12734.015,1.072,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433242781,0.000278229,5.155534062,1.036749842,270.0,124.401,,-15.48655688
2453989.571,-12701.942,1.059,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433804216,0.000250663,5.09778056,0.761899776,300.9,124.3992,,-15.48884123
2453989.619,-12656.061,1.1,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.433018865,0.000338993,5.068952255,0.807347743,224.6,155.5004,,-15.54976147
2453989.622,-12748.529,1.085,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.432481487,0.000311691,5.07277632,0.810747474,245.3,155.5007,,-15.5527914
2453990.787,-12668.157,1.053,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435546431,0.000230347,5.060946685,0.570169212,324.7,110.6997,,-15.9590063
2453990.788,-12711.041,1.056,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.435590405,0.000240257,5.018072824,0.805246511,311.8,110.7004,,-15.96022916
2454049.554,-12609.942,1.03,"La Silla Observatory, Chile",TYC9111-1423-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.434379368,0.000215916,5.186628485,1.018141935,346.8,97.7032,,-19.43274456
