Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2457346.523,,,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389641476,0.000668523,,,116.7,159.9983,,-19.50782263
2457395.563,-7106.609,1.19,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.390225615,0.000660728,12.32634621,0.032846183,117.9,699.9983,,-30.54119331
2457397.533,-7107.738,0.798,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388822466,0.000344254,12.31745038,0.037686698,221.4,699.9983,,-30.47537788
2457398.549,-7113.483,0.807,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388726108,0.00034011,12.32096306,0.038538199,221.5,699.9982,,-30.49059915
2457400.565,-7108.099,1.497,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.390393379,0.000938155,12.33389311,0.035662836,81.3,699.9982,,-30.454697
2457410.542,-7105.298,0.947,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388339767,0.00039985,12.31338906,0.030971152,187.5,699.9982,,-29.51746332
2457412.539,-7101.967,1.132,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.390895437,0.00057909,12.31304265,0.030146992,133.1,699.9982,,-29.23049023
2457414.522,-7116.811,1.158,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.389834029,0.000492018,12.33436,0.045138759,156.1,699.9983,,-28.88737041
2457415.529,-7104.659,0.809,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388187631,0.000372936,12.309765,0.020219991,201.8,699.9983,,-28.72681458
2457416.543,-7099.804,0.856,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.387758946,0.000414635,12.34444682,0.02032043,180.9,699.9983,,-28.56502919
2457417.546,-7100.401,1.188,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388244544,0.000323505,12.33083865,0.019891022,229.0,699.9983,,-28.37931538
2457418.536,-7101.07,1.055,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.392064755,0.000409566,12.3396979,0.025526451,182.8,699.9983,,-28.16872695
2457421.528,-7109.231,0.902,"La Silla Observatory, Chile",TYC22-1354-1,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.388293389,0.000380958,12.33378748,0.039967303,195.0,699.9982,,-27.51493205
