Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454866.098000,24.11,5.73,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454866.101070,17.47,5.86,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454866.940000,1.93,5.81,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454867.915760,-5.81,6.09,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454869.085750,12.59,5.72,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2454871.034780,5.22,6.13,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455140.187020,-42.28,5.56,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455140.192290,-36.90,6.07,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455227.066020,-37.51,5.82,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455317.855290,-4.99,5.40,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455317.858390,-9.87,5.33,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455317.861430,-3.89,5.31,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455495.137190,51.81,11.84,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455525.223690,50.62,5.68,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455526.210280,31.35,5.66,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455581.093170,38.45,5.83,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455601.000020,14.37,6.01,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455670.877490,-10.70,13.99,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455706.843040,-12.95,5.68,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455783.303940,-43.20,5.85,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
2455783.311120,-39.91,6.72,"Siding Spring Observatory, Australia",7 CMa,JD-UTC,"Wittenmyer et al. 2011 (arXiv, 1111, 1007)",UCLES,Gas Cell Absorption (Iodine),Wright,,,,,,,,
