Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2455069.780300,1324.60,4.90,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455163.609100,1336.20,5.20,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455169.692000,1967.30,4.90,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455170.662500,1570.60,5.30,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455188.625800,1969.60,5.40,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455856.709500,1865.50,5.30,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455914.678300,1710.50,4.30,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455915.677500,1332.80,4.40,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455916.668100,1708.70,4.80,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455917.650000,1954.40,4.70,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455918.664500,1554.20,6.50,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",CORALIE,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455832.861500,1462.60,2.00,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",HARPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455832.904000,1511.10,2.40,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",HARPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455832.911000,1523.30,2.50,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",HARPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455889.745800,1406.30,3.60,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",HARPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455890.537000,2022.00,3.70,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",HARPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455890.738600,1865.60,4.10,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",HARPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455891.572100,1767.00,4.40,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",HARPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455891.746800,1988.50,4.60,"La Silla Observatory, Chile",WASP-77 A,BJD-UTC,"Maxted et al. 2013 (2013, PASP, 125, 48)",HARPS,Emission Reference Spectrum (ThAr),Wright,,,,,,,,
2455832.862,-197.223,1.342,"La Silla Observatory, Chile",WASP-77A,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.457178038,0.001462218,7.073476339,0.036931294,58.2,600.0056,,12.32166273
