Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454535.864842,-1997.72,15.91,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454537.849158,-1966.88,8.53,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454538.858364,-2007.34,8.99,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454558.780835,-1833.36,7.23,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454560.709473,-2005.13,7.25,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454561.688137,-1827.30,7.85,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454589.705102,-1842.55,8.75,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454591.706755,-2035.71,8.92,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454652.495906,-1824.93,8.08,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454656.551645,-2024.21,7.87,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454657.577293,-1966.40,9.57,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454663.539741,-2029.61,9.69,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454664.616769,-1785.90,11.08,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
2454682.521501,-1981.18,7.54,"La Silla Observatory, Chile",WASP-16,BJD,"Lister et al. 2009 (ApJ, 703, 752)",CORALIE,Thorium Argon,Wright,,,,,,,,
