Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2454802.71,362.891,6.232,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.930332487,0.007892432,2.970710961,-0.00093533,9.5,300.0,,-6.660087818
2454825.653,465.652,3.035,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.927535685,0.003750964,3.006669766,-0.012020561,21.8,900.0,,-14.20898966
2454884.566,473.633,4.009,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.937594869,0.004685219,2.998490706,-0.009710755,17.1,900.0,,-21.47632961
2454915.502,462.059,4.88,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.934578662,0.005768462,2.982572638,0.008089699,13.6,900.0,,-16.56661465
2454917.491,474.217,3.873,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.948420339,0.00458076,3.000877808,-0.008259079,17.7,900.0,,-16.06402188
2454920.499,437.349,3.708,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.928466459,0.004341931,2.999720111,-0.002762977,18.5,900.0,,-15.30397538
2455122.73,510.449,4.653,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.938200905,0.005391019,3.009496085,-0.01023845,14.8,899.9993,,9.952138668
2455125.809,508.459,4.123,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.936932766,0.004792683,3.011508343,-0.008048626,16.9,899.999,,8.732262914
2455129.702,531.916,3.491,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.945324739,0.00415712,3.003807356,0.000231127,19.6,899.9999,,7.620538609
2455483.769,501.628,5.73,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.950610142,0.006959815,3.030602571,-0.000347519,11.1,900.0006,,11.22301039
2455486.715,562.623,3.92,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.938880689,0.004509134,2.999592019,-0.005182274,17.6,900.0008,,10.38853977
2455487.77,534.728,4.112,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.938935072,0.004646698,3.022473263,-0.020209839,17.2,900.001,,9.924695977
2455489.659,566.081,3.789,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.929203023,0.004290993,3.023809232,-0.009645542,18.5,900.0007,,9.515553743
2455492.798,496.903,4.014,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.926073482,0.004666673,3.022150948,-0.012807974,17.4,900.0008,,8.163059075
2455493.809,447.957,4.09,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.947380553,0.004761084,3.020315988,-0.016362235,17.2,900.0008,,7.788477882
2455494.736,581.99,4.531,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.950868439,0.005179932,3.018469811,0.001216614,15.5,900.0005,,7.632493027
2455495.856,441.279,3.351,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.932669488,0.003974926,3.035154338,-0.010087767,20.9,900.001,,6.970286891
2455888.685,556.75,4.478,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.924109129,0.005046744,3.022362606,-0.00438923,15.9,900.0051,,-2.927861976
2456152.9,336.104,8.332,"La Silla Observatory, Chile",GJ3263,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.933355091,0.017831986,3.050589449,-0.027720883,4.0,900.0004,,21.17972549
