Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisetor,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2453158.697,28151.466,1.922,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.903175121,0.001837478,2.972081232,-0.007990417,38.0,900.0007,,-0.923381339
2453201.574,28155.19,1.416,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.901868765,0.00163404,3.022692507,-0.009583055,47.9,900.0009,,-19.39190897
2453512.711,28159.788,1.155,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.88961057,0.001557106,3.025904566,-0.006279012,51.3,899.9806,,4.491975017
2453517.724,28157.329,1.446,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.881083839,0.001921684,3.031318874,-0.009883071,41.2,900.0005,,2.057550199
2453573.595,28160.214,1.581,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.881262706,0.001833334,3.032748792,-0.006187052,42.4,900.0006,,-21.6786856
2453576.58,28160.295,1.269,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.888897737,0.001435072,3.037880239,-0.005495646,55.2,899.9996,,-22.55763272
2453810.842,28160.573,0.981,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.906645172,0.001260866,3.033874138,-0.00702418,65.8,899.9994,,27.92022368
2453811.882,28161.63,1.342,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.891186219,0.001768294,3.036188844,-0.008077606,46.6,900.0005,,27.69125696
2453816.847,28165.643,0.874,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.879290174,0.001295791,3.030440378,-0.008081667,62.5,899.9987,,26.92813971
2453883.699,28161.213,1.009,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.874163733,0.0011464,3.032678143,-0.006741521,70.5,1199.9997,,1.751931561
2453919.68,28162.741,1.702,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.88784755,0.002021208,3.035086092,-0.00730559,39.7,899.9987,,-14.8359837
2453921.592,28162.661,1.109,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.882839069,0.001045837,3.03374643,-0.009886601,77.4,899.9995,,-15.44254716
2454167.856,28162.517,1.023,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.870916382,0.001306494,3.031093284,-0.006240037,62.2,899.9966,,28.78516399
2454293.676,28166.12,1.113,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.884724035,0.001328781,3.031254578,-0.005189543,59.8,899.9991,,-18.24275251
2454569.871,28164.626,1.093,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.890404224,0.001497533,3.030872632,-0.007112195,55.5,900.0,,20.7542302
2454647.606,28169.0,1.174,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.894034417,0.001254743,3.030862821,-0.009387977,65.6,900.0,,-13.58667274
2454658.639,28167.493,1.314,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.910810129,0.001534383,3.034989391,-0.007341522,53.6,900.0,,-18.0677963
2454660.577,28171.872,1.713,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.891662597,0.002216201,3.039508615,-0.017421998,36.4,900.0,,-18.65541062
2454666.571,28172.184,0.772,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.885385361,0.0012944,3.034081308,-0.007673102,62.7,900.0,,-20.71465784
2454939.85,28169.192,1.253,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.878390831,0.001833329,3.030628732,-0.007683787,44.8,900.0,,19.12281434
2455630.843,28178.001,0.806,"La Silla Observatory, Chile",HIP80018,BJD,"Trifonov et al. (A&A 636, A74 (2020))",HARPS,ThAr,Trifonov,0.889432897,0.001266733,3.029668911,-0.00802807,66.0,900.0063,,28.67312067
