Time,RV,Uncertainty,Observatory_Site,Star_Name,Time_Convention,Reference,Instrument,Wavelength_Calibration_Technique,Source,Halpha_Index,Halpha_Index_Error,Full_Width_Half_Maximum,Bisector,Signal_to_noise_ratio_in_order_55,Exposure_Time,Airmass,Barycentric_Earth_Radial_Velocity
2451034.210521,-12.4,4.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451118.043646,-19.2,4.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451118.955741,-28.1,8.7,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451119.940012,-15.2,3.9,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451120.999722,-16.0,4.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451121.920856,-18.0,3.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451386.318229,-2.5,5.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451411.149294,4.1,6.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451414.263461,-7.2,5.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451472.949248,4.1,4.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451683.317975,3.9,4.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451684.324525,7.8,4.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451743.242002,19.4,6.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451767.199734,16.8,4.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451768.218727,14.9,5.2,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451828.038287,14.2,4.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451828.958924,21.4,4.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451829.952674,19.5,5.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451856.043611,7.2,7.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451919.925081,26.0,4.7,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451920.930301,13.6,5.6,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452061.280391,10.6,7.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452092.214502,16.0,4.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452093.241470,15.6,4.9,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452127.192176,0.2,4.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452128.147546,-4.6,5.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452130.105185,3.5,4.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452154.098171,-11.9,4.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452186.951817,-10.4,3.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452188.040278,-7.7,3.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452188.973886,-3.2,3.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452189.980833,-1.5,5.6,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452388.313229,-22.9,3.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452389.300822,-20.8,5.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452422.304502,-16.4,3.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452454.337477,-27.1,4.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452456.276505,-22.8,4.2,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452477.198148,-23.8,4.9,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452510.243563,-23.1,2.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452511.024077,-21.9,2.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452591.972245,-10.5,3.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452593.962569,-21.2,4.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452748.326875,-8.2,4.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452861.194456,-4.2,5.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2452945.029468,23.8,4.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453006.963241,23.5,4.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453215.243002,22.7,2.7,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453244.187627,17.4,5.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453283.073171,7.,11.,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453509.288601,-6.7,2.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453521.337897,-8.5,2.9,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453570.224438,-15.8,2.2,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453665.069884,-18.0,1.9,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453666.070826,-12.2,2.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453668.095738,-5.2,1.9,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453669.064260,-14.3,2.2,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453671.107067,-20.7,2.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2453702.978012,-26.6,1.9,"Siding Spring Observatory, Australia",Tau 1 Gruis,JD,"Butler et al. 2006 (ApJ, 646, 505)",UCLES,Iodine,Wright,,,,,,,,
2451034.2105,-9.1,5.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451118.0436,-16.7,5.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451118.9557,-19.2,11.6,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451119.9400,-21.2,4.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451120.9997,-16.4,4.9,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451121.9209,-17.6,4.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451386.3182,9.5,6.0,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451411.1493,-0.4,7.7,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451414.2635,-1.0,6.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451472.9492,9.4,4.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451683.3180,14.6,5.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451684.3245,11.8,4.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451743.2420,37.5,6.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451767.1997,22.8,4.7,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451768.2187,16.4,6.8,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451828.0383,12.6,5.6,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451828.9589,29.6,5.2,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451829.9527,23.0,6.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451856.0436,10.9,8.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451856.9123,28.2,13.4,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451919.9251,31.1,6.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2451920.9303,22.2,7.2,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2452061.2803,7.5,8.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2452062.3446,3.6,5.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2452092.2145,22.4,5.5,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2452093.2415,17.0,5.1,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
2452127.1922,11.1,6.3,"Siding Spring Observatory, Australia",Tau 1 Gruis,HJD,"Jones et al. 2003 (MNRAS, 341, 948)",UCLES,Iodine,Wright,,,,,,,,
